key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,volstandard,voldeviant,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,RegStandardPitch,RegDeviantPitch,key_resp_6.keys,key_resp_6.rt,RegAudSequence,diff-reg,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_7.keys,key_resp_7.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,standard,devient,key_resp_8.keys,key_resp_8.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_9.keys,key_resp_9.rt
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/26d-ms_1_1_2_1_1_2_4_unit250.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,2,0.0009,1,9,21,8,1,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,RegPatterns/26d-ms_1_1_2_1_1_2_4_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/18-ms_4_2_2_1_1_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/18d-ms_4_2_2_2_1_1_unit270.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/18-ms_4_2_2_1_1_2_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,2,0.7094,1,10,22,6,1,RegPatterns/18-ms_4_2_2_1_1_2_unit270.mp3,RegPatterns/18d-ms_4_2_2_2_1_1_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/14d-ms_2_1_1_4_3_1_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,1,0.3706,1,11,23,4,1,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,RegPatterns/14d-ms_2_1_1_4_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/09-ms_2_1_1_1_3_4_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/09-ms_2_1_1_1_3_4_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/09d-ms_2_1_1_3_1_4_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,3,0.1512,2,0,24,2,1,RegPatterns/09-ms_2_1_1_1_3_4_unit270.mp3,RegPatterns/09d-ms_2_1_1_3_1_4_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/26d-ms_1_1_2_1_1_2_4_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,RegPatterns/Noise.mp3,RegPatterns/Noise.mp3,,,,,,,,,,1,0.4169,,,,,,,,g,0.3892,0,0,0,0,1,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,2,1,25,8,1,RegPatterns/26-ms_1_1_2_2_1_1_4_unit250.mp3,RegPatterns/26d-ms_1_1_2_1_1_2_4_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/12-ms_3_1_1_3_2_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/12-ms_3_1_1_3_2_2_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/12d-ms_3_1_3_1_2_2_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,1,0.6514,2,2,26,3,1,RegPatterns/12-ms_3_1_1_3_2_2_unit270.mp3,RegPatterns/12d-ms_3_1_3_1_2_2_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/18-ms_4_2_2_1_1_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/18-ms_4_2_2_1_1_2_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/18d-ms_4_2_2_2_1_1_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,3,1.0915,2,3,27,6,1,RegPatterns/18-ms_4_2_2_1_1_2_unit270.mp3,RegPatterns/18d-ms_4_2_2_2_1_1_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/16-ms_3_1_2_2_1_3_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/16d-ms_3_1_2_2_3_1_unit230.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/16-ms_3_1_2_2_1_3_unit230.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,2,0.3176,2,4,28,5,1,RegPatterns/16-ms_3_1_2_2_1_3_unit230.mp3,RegPatterns/16d-ms_3_1_2_2_3_1_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/30d-ms_1_3_2_2_1_1_2_unit230.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/30-ms_3_1_2_2_1_1_2_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/30-ms_3_1_2_2_1_1_2_unit230.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,1,2.9489,2,5,29,10,1,RegPatterns/30-ms_3_1_2_2_1_1_2_unit230.mp3,RegPatterns/30d-ms_1_3_2_2_1_1_2_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/03-ms_3_1_4_2_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/03d-ms_1_3_4_2_2_unit270.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/03-ms_3_1_4_2_2_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,2,0.4217,2,6,30,1,1,RegPatterns/03-ms_3_1_4_2_2_unit270.mp3,RegPatterns/03d-ms_1_3_4_2_2_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/19-ms_1_1_2_3_1_2_2_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/19-ms_1_1_2_3_1_2_2_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/19d-ms_1_1_2_1_3_2_2_unit230.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,3,0.3499,2,7,31,7,1,RegPatterns/19-ms_1_1_2_3_1_2_2_unit230.mp3,RegPatterns/19d-ms_1_1_2_1_3_2_2_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/02d-ms_3_1_4_3_1_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/02-ms_3_1_4_1_3_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/02-ms_3_1_4_1_3_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,1,0.4008,2,8,32,0,1,RegPatterns/02-ms_3_1_4_1_3_unit250.mp3,RegPatterns/02d-ms_3_1_4_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/14d-ms_2_1_1_4_3_1_unit250.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,2,0.311,2,9,33,4,1,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,RegPatterns/14d-ms_2_1_1_4_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/20-ms_2_1_1_2_2_3_1_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/20-ms_2_1_1_2_2_3_1_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/20d-ms_2_1_1_2_2_1_3_unit230.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,3,0.5094,2,10,34,11,1,RegPatterns/20-ms_2_1_1_2_2_3_1_unit230.mp3,RegPatterns/20d-ms_2_1_1_2_2_1_3_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/29d-ms_3_1_2_1_1_3_1_unit250.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,2,0.4104,2,11,35,9,1,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,RegPatterns/29d-ms_3_1_2_1_1_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train37_audtrain2,2023-11-24_23h09.36.262,AudTraining2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.084
